TIPO;DIRECCION;IDENTIFICADOR;CODIGO;CODNDP,N,19,0;TIPO DE VALLA;TIPO DE SUELO;LOCALIZACION;ACCESO;N.ELEMENTOS;AREA;PERIMETRO;DIRECCION AUXLIAR;DISTRITO;BARRIO;latitud;longitud;UTMX;UTMY
AREA INFANTIL;RONDA SUR nº 8;1058;13120;31041849;SIN VALLA;ARENA;EN PARQUE ENTREVIAS;CAJEADO CON BORDILLO;4;319,776;72,18;PARQUE DE ENTREVIAS;PUENTE DE VALLECAS;ENTREVÍAS;40,372339;-3,669839;443134,327;4469299,908
AREA INFANTIL;CALLE POETA BLAS DE OTERO nº 22;1225;15045;31011833;VALLA METALICA CON COLORINES;ARENA;EN PARQUE PINAR DE LA ELIPA;0;8;289,202;72,02;PARQUE DEL PINAR DE LA ELIPA;CIUDAD LINEAL;VENTAS;40,420287;-3,656368;444317,475;4474613,456
AREA INFANTIL;AVENIDA POBLADOS nº 83;796;11124;31003921;0;0;0;0;4;358,333;70,63;0;CARABANCHEL;PUERTA BONITA;40,373904;-3,743788;436857,802;4469523,772
AREA INFANTIL;CALLE MONSEÑOR OSCAR ROMERO nº 64;792;11119;11075136;0;0;0;0;5;271,141;72,86;0;CARABANCHEL;VISTA ALEGRE;40,382372;-3,745526;436718,188;4470464,919
AREA INFANTIL;CALLE TEJO nº 18;68;2037;20139370;VALLA DE MADERA COLOR ROJO;ARENA;0;0;6;230,305;56,15;C · CALLE TEJO , ASCENDIENTE 1: 027 · ATOCHA , AS;ARGANZUELA;ATOCHA;40,397125;-3,67899;442378,588;4472057,005
AREA INFANTIL;CALLE ALMEZ nº 2;95;2066;20139361;VALLA DE MADERA CON COLORINES;ARENA;0;0;4;233,461;56,72;C · CALLE TEJO , ASCENDIENTE 1: 027 · ATOCHA , AS;ARGANZUELA;ATOCHA;40,397441;-3,679075;442371,599;4472092,097
AREA INFANTIL;CALLE ALMEZ nº 2;67;2036;20139361;VALLA DE MADERA COLOR GRIS;ARENA;0;0;3;237,463;59,13;C · CALLE TEJO , ASCENDIENTE 1: 027 · ATOCHA , AS;ARGANZUELA;ATOCHA;40,397317;-3,678844;442391,089;4472078,27
AREA INFANTIL;CALLE AGUILON nº 15;92;2063;11008805;VALLA METALICA CON COLORINES;ARENA;0;0;3;148,628;50,66;C · CALLE AGUILON JUNTO N?15 , ASCENDIENTE 1: 023;ARGANZUELA;CHOPERA;40,397281;-3,700305;440569,785;4472088,46
AREA INFANTIL;PLAZA SETUBAL nº 15;762;11083;11079286;VALLA DE MADERA CON COLORINES;ARENA;0;0;4;166,498;54,94;Pza · PLAZA SETUBAL , ASCENDIENTE 1: 117 · ABRANT;CARABANCHEL;ABRANTES;40,38383;-3,724537;438501,123;4470611,917
AREA INFANTIL;PLAZA SETUBAL nº 14;761;11082;11079285;VALLA DE MADERA CON COLORINES;ARENA;0;0;4;137,99;48,62;Pza · PLAZA SETUBAL 15 , ASCENDIENTE 1: 117 · ABR;CARABANCHEL;ABRANTES;40,383727;-3,724724;438485,15;4470600,63
