measurement,station,date,latitude,longitude
28079035_201702,28079035,2017-02,40.41920833333333,-3.7031722222222223
28079055_201707,28079055,2017-07,40.46253055555556,-3.5807472222222216
28079055_201706,28079055,2017-06,40.46253055555556,-3.5807472222222216
28079055_201705,28079055,2017-05,40.46253055555556,-3.5807472222222216
28079055_201712,28079055,2017-12,40.46253055555556,-3.5807472222222216
28079055_201711,28079055,2017-11,40.46253055555556,-3.5807472222222216
28079055_201709,28079055,2017-09,40.46253055555556,-3.5807472222222216
28079055_201708,28079055,2017-08,40.46253055555556,-3.5807472222222216
28079055_201704,28079055,2017-04,40.46253055555556,-3.5807472222222216
28079055_201701,28079055,2017-01,40.46253055555556,-3.5807472222222216
28079055_201710,28079055,2017-10,40.46253055555556,-3.5807472222222216
28079055_201703,28079055,2017-03,40.46253055555556,-3.5807472222222216
28079055_201702,28079055,2017-02,40.46253055555556,-3.5807472222222216
